DIsposalType,DisposalLocationOccurence,Quarter,TimeOfDisposalOccurence
Kick,Attacking Midfield,Q1,5.02
Kick,Attacking Midfield,Q1,5.26
Handball,Defensive,Q1,7.59
Pressure,Attacking Midfield,Q1,11.33
Handball,Defensive Midfield,Q1,17.09
Pressure,Attacking Midfield,Q1,19.01
Handball,Attacking Midfield,Q1,19.25
Kick,Attacking Midfield,Q1,20.31
Handball,Forward,Q1,20.49
Kick,Forward,Q1,21.19
Pressure,Defensive Midfield,Q1,22.23
Tackle,Defensive Midfield,Q1,22.47
Handball,Defensive Midfield,Q1,24.25
Tackle,Attacking Midfield,Q1,28.19
Handball,Attacking Midfield,Q1,28.34
Handball,Attacking Midfield,Q2,9.31
Handball,Defensive Midfield,Q2,14.34
Handball,Defensive Midfield,Q2,22.55
Handball,Defensive,Q2,13.51
Handball,Forward,Q2,24.14
Kick,Attacking Midfield,Q2,8.54
Kick,Attacking Midfield,Q2,17.52
Kick,Attacking Midfield,Q2,10.58
Pressure,Attacking Midfield,Q2,26.35
Handball,Defensive,Q3,16.52
Kick,Forward,Q3,21.33
Kick,Attacking Midfield,Q3,25.25
Kick,Defensive Midfield,Q3,3.11
Pressure,Defensive Midfield,Q3,11.14
Pressure,Defensive Midfield,Q3,11
Pressure,Defensive,Q3,23.37
Handball,Attacking Midfield,Q4,6.16
Handball,Defensive,Q4,22.19
Handball,Defensive Midfield,Q4,11.45
Handball,Defensive Midfield,Q4,26.01
Handball,Forward,Q4,27.28
Kick,Defensive Midfield,Q4,22.51
Kick,Defensive Midfield,Q4,4.12
Kick,Attacking Midfield,Q4,4.45
Pressure,Defensive Midfield,Q4,11.01
Tackle,Defensive Midfield,Q4,9.44
